,location_time,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,gps_speed,mileage,time_diff
0,2018-08-01 00:06:38,0,0,0,0,0,0,0,0.0,AA00004,AAA9101004,0.0,115.92311765030254,28.651274083469996,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
1,2018-08-01 00:06:39,1,1,1,1,1,1,1,1.0,AA00004,AAA9101004,0.0,115.92311562250707,28.651266305667992,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
2,2018-08-01 00:06:40,2,2,2,2,2,2,2,2.0,AA00004,AAA9101004,0.0,115.92311511135993,28.651259664364105,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
3,2018-08-01 00:06:41,3,3,3,3,3,3,3,3.0,AA00004,AAA9101004,0.0,115.92311747391099,28.651257611713802,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
4,2018-08-01 00:06:42,4,4,4,4,4,4,4,4.0,AA00004,AAA9101004,0.0,115.923123327886,28.651261918053248,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
5,2018-08-01 00:06:43,5,5,5,5,5,5,5,5.0,AA00004,AAA9101004,0.0,115.92313304157898,28.651273654610193,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
6,2018-08-01 00:06:44,6,6,6,6,6,6,6,6.0,AA00004,AAA9101004,0.0,115.92314573378589,28.65129302168929,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
7,2018-08-01 00:06:45,7,7,7,7,7,7,7,7.0,AA00004,AAA9101004,0.0,115.92315792663709,28.65131464017995,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
8,2018-08-01 00:06:46,8,8,8,8,8,8,8,8.0,AA00004,AAA9101004,0.0,115.92316567293949,28.651330521359913,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
9,2018-08-01 00:06:47,9,9,9,9,9,9,9,9.0,AA00004,AAA9101004,0.0,115.92316944876222,28.651340499447894,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
10,2018-08-01 00:06:48,10,10,10,10,10,10,10,10.0,AA00004,AAA9101004,0.0,115.92317072363193,28.651346607286648,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
11,2018-08-01 00:06:49,11,11,11,11,11,11,11,11.0,AA00004,AAA9101004,0.0,115.92317101812483,28.651349978978075,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
12,2018-08-01 00:06:50,12,12,12,12,12,12,12,12.0,AA00004,AAA9101004,0.0,115.92317099688387,28.651351721022813,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
13,2018-08-01 00:06:51,13,13,13,13,13,13,13,13.0,AA00004,AAA9101004,0.0,115.9231708518104,28.651352659150305,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
14,2018-08-01 00:06:52,14,14,14,14,14,14,14,14.0,AA00004,AAA9101004,0.0,115.9231705656237,28.65135334797401,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
15,2018-08-01 00:06:53,15,15,15,15,15,15,15,15.0,AA00004,AAA9101004,0.0,115.92317000453743,28.651354207676818,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
16,2018-08-01 00:06:54,16,16,16,16,16,16,16,16.0,AA00004,AAA9101004,0.0,115.92316894584835,28.6513556362853,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
17,2018-08-01 00:06:55,17,17,17,17,17,17,17,17.0,AA00004,AAA9101004,0.0,115.92316717217223,28.65135796238126,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
18,2018-08-01 00:06:56,18,18,18,18,18,18,18,18.0,AA00004,AAA9101004,0.0,115.92316483277513,28.651361010576455,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
19,2018-08-01 00:06:57,19,19,19,19,19,19,19,19.0,AA00004,AAA9101004,0.0,115.92316306300063,28.65136331164347,1.0,0.0,0.0,0.0,0.0,0.0,5559.0,1.0
