,location_time,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,gps_speed,mileage,time_diff
0,2018-08-07 10:31:14,0,0,51778.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,3.0
1,2018-08-07 10:31:15,1,1,,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,
2,2018-08-07 10:31:16,2,2,,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,
3,2018-08-07 10:31:17,3,3,51779.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
4,2018-08-07 10:31:18,4,4,51780.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
5,2018-08-07 10:31:19,5,5,51781.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
6,2018-08-07 10:31:20,6,6,51782.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
7,2018-08-07 10:31:21,7,7,51783.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
8,2018-08-07 10:31:22,8,8,51784.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
9,2018-08-07 10:31:23,9,9,51785.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
10,2018-08-07 10:31:24,10,10,51786.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
11,2018-08-07 10:31:25,11,11,51787.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
12,2018-08-07 10:31:26,12,12,51788.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
13,2018-08-07 10:31:27,13,13,51789.0,AA00004,AAA9101004,0.0,115.898326,28.70113,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
14,2018-08-07 10:31:28,14,14,51790.0,AA00004,AAA9101004,0.0,115.898326,28.701130000000003,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
15,2018-08-07 10:31:29,15,15,51791.0,AA00004,AAA9101004,0.0,115.898326,28.701130000000006,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
16,2018-08-07 10:31:30,16,16,51792.0,AA00004,AAA9101004,0.0,115.89832599999998,28.701130000000024,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
17,2018-08-07 10:31:31,17,17,51793.0,AA00004,AAA9101004,0.0,115.89832599999994,28.701130000000056,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
18,2018-08-07 10:31:32,18,18,51794.0,AA00004,AAA9101004,0.0,115.89832599999987,28.70113000000015,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
19,2018-08-07 10:31:33,19,19,51795.0,AA00004,AAA9101004,0.0,115.89832599999967,28.70113000000039,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
20,2018-08-07 10:31:34,20,20,51796.0,AA00004,AAA9101004,0.0,115.89832599999914,28.701130000001054,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
21,2018-08-07 10:31:35,21,21,51797.0,AA00004,AAA9101004,0.0,115.89832599999775,28.70113000000279,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
22,2018-08-07 10:31:36,22,22,51798.0,AA00004,AAA9101004,0.0,115.89832599999413,28.701130000007236,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
23,2018-08-07 10:31:37,23,23,51799.0,AA00004,AAA9101004,0.0,115.89832599998515,28.701130000018274,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
24,2018-08-07 10:31:38,24,24,51800.0,AA00004,AAA9101004,0.0,115.89832599996387,28.701130000044447,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,3.0
25,2018-08-07 10:31:39,25,25,,AA00004,AAA9101004,0.0,115.8983259999172,28.70113000010194,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,
26,2018-08-07 10:31:40,26,26,,AA00004,AAA9101004,0.0,115.89832599982881,28.70113000021079,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,
27,2018-08-07 10:31:41,27,27,51801.0,AA00004,AAA9101004,0.0,115.89832599962685,28.7011300004595,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,1.0
28,2018-08-07 10:31:42,28,28,51802.0,AA00004,AAA9101004,0.0,115.898325999088,28.701130001123072,1.0,0.0,0.0,0.0,0.0,0.0,6154.0,3.0
