,location_time,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,gps_speed,mileage,time_diff
0,2018-08-02 01:10:23,0,0,0,17310.0,AA00004,AAA9101004,116.0,115.87448446186544,29.512114197068435,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,3.0
1,2018-08-02 01:10:24,1,1,1,,AA00004,AAA9101004,116.0,115.87448616416873,29.51211243676731,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,
2,2018-08-02 01:10:25,2,2,2,,AA00004,AAA9101004,116.0,115.87448937566363,29.512109784306162,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,
3,2018-08-02 01:10:26,3,3,3,17311.0,AA00004,AAA9101004,107.0,115.8744945359066,29.51210692753168,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,2.0
4,2018-08-02 01:10:27,4,4,4,,AA00004,AAA9101004,107.0,115.87450254741101,29.512104431671133,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,
5,2018-08-02 01:10:28,5,5,5,17312.0,AA00004,AAA9101004,110.0,115.87451237596687,29.512102833111054,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
6,2018-08-02 01:10:29,6,6,6,17313.0,AA00004,AAA9101004,110.0,115.87452339241787,29.512102912621607,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
7,2018-08-02 01:10:30,7,7,7,17314.0,AA00004,AAA9101004,110.0,115.87453556426833,29.51210502506622,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
8,2018-08-02 01:10:31,8,8,8,17315.0,AA00004,AAA9101004,106.0,115.8745489560709,29.512109350056633,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
9,2018-08-02 01:10:32,9,9,9,17316.0,AA00004,AAA9101004,106.0,115.87456316739298,29.51211634432478,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
10,2018-08-02 01:10:33,10,10,10,17317.0,AA00004,AAA9101004,108.0,115.87457936400837,29.51212609225532,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
11,2018-08-02 01:10:34,11,11,11,17318.0,AA00004,AAA9101004,105.0,115.87459922231399,29.51213710428806,1.0,0.0,0.0,0.0,0.0,0.0,5734.0,1.0
12,2018-08-02 01:10:35,12,12,12,17319.0,AA00004,AAA9101004,88.0,115.87462286305333,29.512148956087284,1.0,0.0,0.0,0.0,0.0,11.0,5734.0,1.0
13,2018-08-02 01:10:36,13,13,13,17320.0,AA00004,AAA9101004,72.0,115.87464825432257,29.51216259698796,1.0,0.0,0.0,0.0,0.0,11.0,5734.0,1.0
