,location_time,Unnamed: 0,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,gps_speed,mileage,time_diff
0,2018-08-05 08:40:02,60759.0,AB00006,AAA7109006,255.0,115.68003655578316,24.972413630896835,1.0,0.0,0.0,0.0,0.0,31.0,5418.0,1.0
1,2018-08-05 08:40:03,60760.0,AB00006,AAA7109006,256.0,115.67997795764218,24.97240099364662,1.0,0.0,0.0,0.0,0.0,33.0,5418.0,1.0
2,2018-08-05 08:40:04,60761.0,AB00006,AAA7109006,256.0,115.67989637369448,24.972382952854378,1.0,0.0,0.0,0.0,0.0,34.0,5418.0,1.0
3,2018-08-05 08:40:05,60762.0,AB00006,AAA7109006,258.0,115.67980315505548,24.972364848469798,1.0,0.0,0.0,0.0,0.0,36.0,5418.0,1.0
4,2018-08-05 08:40:06,60763.0,AB00006,AAA7109006,259.0,115.67970340181898,24.97234653970738,1.0,0.0,0.0,0.0,0.0,38.0,5418.0,1.0
5,2018-08-05 08:40:07,60764.0,AB00006,AAA7109006,260.0,115.6795974468066,24.972328958867546,1.0,0.0,0.0,0.0,0.0,39.0,5418.0,1.0
6,2018-08-05 08:40:08,60765.0,AB00006,AAA7109006,261.0,115.67948669944097,24.972312671289288,1.0,0.0,0.0,0.0,0.0,41.0,5418.0,1.0
7,2018-08-05 08:40:09,60766.0,AB00006,AAA7109006,261.0,115.67937419795315,24.97229863784616,1.0,0.0,0.0,0.0,0.0,42.0,5418.0,1.0
8,2018-08-05 08:40:10,60767.0,AB00006,AAA7109006,262.0,115.6792633121997,24.972285464692817,1.0,0.0,0.0,0.0,0.0,41.0,5418.0,1.0
9,2018-08-05 08:40:11,60768.0,AB00006,AAA7109006,262.0,115.67915554501555,24.972272918290972,1.0,0.0,0.0,0.0,0.0,39.0,5418.0,1.0
10,2018-08-05 08:40:12,60769.0,AB00006,AAA7109006,262.0,115.67904851291863,24.972260261685157,1.0,0.0,0.0,0.0,0.0,40.0,5418.0,1.0
