,Unnamed: 0,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage,time_diff
0,36514,AF00098,AAA9101098,92,115.87961132258499,27.16837602779209,1,0,0,0,0,2018-09-09 06:33:41,11,13143,2.0
1,36515,AF00098,AAA9101098,89,115.8796590165873,27.16849180695635,1,0,0,0,0,2018-09-09 06:33:43,11,13143,1.0
2,36516,AF00098,AAA9101098,98,115.87970671058959,27.168607586120615,1,0,0,0,0,2018-09-09 06:33:44,0,13143,1.0
3,36517,AF00098,AAA9101098,87,115.87975440459189,27.168723365284876,1,0,0,0,0,2018-09-09 06:33:45,0,13143,2.0
4,36518,AF00098,AAA9101098,86,115.87980209859418,27.16883914444914,1,0,0,0,0,2018-09-09 06:33:47,0,13143,4.0
5,36519,AF00098,AAA9101098,88,115.87984979259649,27.168954923613402,0,0,0,0,0,2018-09-09 06:33:51,0,13143,1.0
6,36520,AF00098,AAA9101098,88,115.87989748659878,27.169070702777667,1,0,0,0,0,2018-09-09 06:33:52,0,13143,3.0
7,36521,AF00098,AAA9101098,88,115.87994518060108,27.169186481941928,0,0,0,0,0,2018-09-09 06:33:55,0,13143,1.0
8,36522,AF00098,AAA9101098,88,115.87999287460337,27.169302261106193,0,0,0,0,0,2018-09-09 06:33:56,0,13143,1.0
9,36523,AF00098,AAA9101098,88,115.88004056860568,27.169418040270454,0,0,0,0,0,2018-09-09 06:33:57,0,13143,3.0
10,36524,AF00098,AAA9101098,88,115.88008826260797,27.16953381943472,0,0,0,0,0,2018-09-09 06:34:00,0,13143,2.0
11,36525,AF00098,AAA9101098,88,115.88013595661027,27.16964959859898,0,0,0,0,0,2018-09-09 06:34:02,0,13143,2.0
12,36526,AF00098,AAA9101098,88,115.88018365061257,27.169765377763245,0,0,0,0,0,2018-09-09 06:34:04,0,13143,1.0
13,36527,AF00098,AAA9101098,88,115.88023134461487,27.169881156927506,0,0,0,0,0,2018-09-09 06:34:05,0,13143,2.0
14,36528,AF00098,AAA9101098,88,115.88027903861716,27.16999693609177,0,0,0,0,0,2018-09-09 06:34:07,0,13143,1.0
15,36529,AF00098,AAA9101098,88,115.88032673261947,27.170112715256032,0,0,0,0,0,2018-09-09 06:34:08,0,13143,1.0
16,36530,AF00098,AAA9101098,88,115.88037442662176,27.170228494420297,0,0,0,0,0,2018-09-09 06:34:09,0,13143,2.0
17,36531,AF00098,AAA9101098,88,115.88042212062406,27.170344273584558,0,0,0,0,0,2018-09-09 06:34:11,0,13143,1.0
18,36532,AF00098,AAA9101098,88,115.88046981462635,27.170460052748822,0,0,0,0,0,2018-09-09 06:34:12,0,13143,2.0
19,36533,AF00098,AAA9101098,88,115.88051750862866,27.170575831913084,0,0,0,0,0,2018-09-09 06:34:14,0,13143,1.0
20,36534,AF00098,AAA9101098,88,115.88056520263095,27.17069161107735,0,0,0,0,0,2018-09-09 06:34:15,0,13143,8.0
21,36535,AF00098,AAA9101098,6,115.88061289663325,27.17080739024161,1,0,0,0,0,2018-09-09 06:34:23,37,13143,1.0
22,36536,AF00098,AAA9101098,5,115.88066059063554,27.170923169405874,1,0,0,0,0,2018-09-09 06:34:24,38,13143,2.0
23,36537,AF00098,AAA9101098,8,115.88070828463785,27.171038948570136,1,0,0,0,0,2018-09-09 06:34:26,38,13143,1.0
24,36538,AF00098,AAA9101098,10,115.88075597864014,27.1711547277344,1,0,0,0,0,2018-09-09 06:34:27,40,13143,1.0
25,36539,AF00098,AAA9101098,11,115.88080367264244,27.17127050689866,1,0,0,0,0,2018-09-09 06:34:28,41,13143,1.0
26,36540,AF00098,AAA9101098,15,115.88085136664473,27.171386286062926,1,0,0,0,0,2018-09-09 06:34:29,42,13143,3.0
27,36541,AF00098,AAA9101098,14,115.88089906064704,27.171502065227187,1,0,0,0,0,2018-09-09 06:34:32,45,13143,1.0
28,36542,AF00098,AAA9101098,19,115.88094675464933,27.171617844391452,1,0,0,0,0,2018-09-09 06:34:33,45,13143,1.0
29,36543,AF00098,AAA9101098,18,115.88099444865163,27.171733623555713,1,0,0,0,0,2018-09-09 06:34:34,46,13143,1.0
30,36544,AF00098,AAA9101098,19,115.88104214265392,27.171849402719978,1,0,0,0,0,2018-09-09 06:34:35,47,13143,1.0
31,36545,AF00098,AAA9101098,18,115.88108983665623,27.17196518188424,1,0,0,0,0,2018-09-09 06:34:36,48,13143,1.0
32,36546,AF00098,AAA9101098,18,115.88113753065852,27.172080961048504,1,0,0,0,0,2018-09-09 06:34:37,49,13143,1.0
33,36547,AF00098,AAA9101098,19,115.88118522466083,27.172196740212765,1,0,0,0,0,2018-09-09 06:34:38,50,13143,1.0
34,36548,AF00098,AAA9101098,18,115.88123291866312,27.17231251937703,1,0,0,0,0,2018-09-09 06:34:39,51,13143,1.0
35,36549,AF00098,AAA9101098,17,115.88128061266542,27.17242829854129,1,0,0,0,0,2018-09-09 06:34:40,52,13143,1.0
36,36550,AF00098,AAA9101098,14,115.88132830666771,27.172544077705556,1,0,0,0,0,2018-09-09 06:34:41,53,13143,1.0
37,36551,AF00098,AAA9101098,12,115.88137600067002,27.172659856869817,1,0,0,0,0,2018-09-09 06:34:42,54,13143,2.0
38,36552,AF00098,AAA9101098,7,115.8814236946723,27.17277563603408,1,0,0,0,0,2018-09-09 06:34:44,54,13143,1.0
39,36553,AF00098,AAA9101098,3,115.88147138867461,27.17289141519834,1,0,0,0,0,2018-09-09 06:34:45,53,13143,1.0
40,36554,AF00098,AAA9101098,0,115.8815190826769,27.1730071943626,1,0,0,0,0,2018-09-09 06:34:46,54,13143,1.0
41,36555,AF00098,AAA9101098,357,115.88156677667921,27.173122973526862,1,0,0,0,0,2018-09-09 06:34:47,55,13143,1.0
42,36556,AF00098,AAA9101098,353,115.8816144706815,27.173238752691123,1,0,0,0,0,2018-09-09 06:34:48,55,13143,1.0
43,36557,AF00098,AAA9101098,351,115.8816621646838,27.173354531855384,1,0,0,0,0,2018-09-09 06:34:49,57,13143,1.0
44,36558,AF00098,AAA9101098,348,115.8817098586861,27.173470311019646,1,0,0,0,0,2018-09-09 06:34:50,58,13143,1.0
45,36559,AF00098,AAA9101098,343,115.8817575526884,27.173586090183907,1,0,0,0,0,2018-09-09 06:34:51,58,13143,1.0
46,36560,AF00098,AAA9101098,339,115.88180524669069,27.173701869348168,1,0,0,0,0,2018-09-09 06:34:52,60,13143,1.0
47,36561,AF00098,AAA9101098,338,115.881852940693,27.17381764851243,1,0,0,0,0,2018-09-09 06:34:53,61,13143,1.0
48,36562,AF00098,AAA9101098,340,115.88190063469528,27.17393342767669,1,0,0,0,0,2018-09-09 06:34:54,62,13143,1.0
49,36563,AF00098,AAA9101098,344,115.88194832869759,27.17404920684095,1,0,0,0,0,2018-09-09 06:34:55,63,13143,2.0
50,36564,AF00098,AAA9101098,352,115.88199602269988,27.174164986005213,1,0,0,0,0,2018-09-09 06:34:57,64,13143,2.0
51,36565,AF00098,AAA9101098,358,115.88204371670219,27.174280765169474,1,0,0,0,0,2018-09-09 06:34:59,65,13143,1.0
52,36566,AF00098,AAA9101098,358,115.88209141070448,27.174396544333735,1,0,0,0,0,2018-09-09 06:35:00,65,13143,1.0
53,36567,AF00098,AAA9101098,359,115.88213910470678,27.174512323497996,1,0,0,0,0,2018-09-09 06:35:01,65,13143,1.0
54,36568,AF00098,AAA9101098,359,115.88218679870907,27.174628102662258,1,0,0,0,0,2018-09-09 06:35:02,65,13143,1.0
55,36569,AF00098,AAA9101098,359,115.88223449271138,27.17474388182652,1,0,0,0,0,2018-09-09 06:35:03,65,13143,2.0
56,36570,AF00098,AAA9101098,0,115.88228218671367,27.17485966099078,1,0,0,0,0,2018-09-09 06:35:05,64,13143,1.0
57,36571,AF00098,AAA9101098,0,115.88232988071597,27.17497544015504,1,0,0,0,0,2018-09-09 06:35:06,64,13143,1.0
58,36572,AF00098,AAA9101098,0,115.88237757471826,27.175091219319302,1,0,0,0,0,2018-09-09 06:35:07,64,13143,1.0
