,location_time,Unnamed: 0,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,gps_speed,mileage,time_diff
0,2018-09-10 21:48:21,52244.0,AF00098,AAA9101098,238.0,115.87304511603907,27.170940705673747,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
1,2018-09-10 21:48:22,52245.0,AF00098,AAA9101098,238.0,115.87304362169789,27.17094020631146,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
2,2018-09-10 21:48:23,52246.0,AF00098,AAA9101098,238.0,115.87304317882828,27.170940057639125,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
3,2018-09-10 21:48:24,52247.0,AF00098,AAA9101098,238.0,115.87304303840921,27.17094000694223,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
4,2018-09-10 21:48:25,52248.0,AF00098,AAA9101098,238.0,115.87304296295127,27.170939968045708,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,2.0
5,2018-09-10 21:48:26,,AF00098,AAA9101098,238.0,115.8730428248333,27.170939874832694,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
6,2018-09-10 21:48:27,52249.0,AF00098,AAA9101098,238.0,115.87304268671532,27.17093978161968,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
7,2018-09-10 21:48:28,52250.0,AF00098,AAA9101098,238.0,115.87304201874264,27.170939317200137,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
8,2018-09-10 21:48:29,52251.0,AF00098,AAA9101098,238.0,115.8730396911809,27.170937692145962,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
9,2018-09-10 21:48:30,52252.0,AF00098,AAA9101098,238.0,115.87303176745222,27.17093214416284,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,1.0
10,2018-09-10 21:48:31,52253.0,AF00098,AAA9101098,238.0,115.87300484624727,27.170913242695985,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,46.0
11,2018-09-10 21:48:32,,AF00098,AAA9101098,238.0,115.8729779250423,27.170894341229126,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
12,2018-09-10 21:48:33,,AF00098,AAA9101098,238.0,115.87295100383736,27.17087543976227,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
13,2018-09-10 21:48:34,,AF00098,AAA9101098,238.0,115.8729240826324,27.17085653829541,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
14,2018-09-10 21:48:35,,AF00098,AAA9101098,238.0,115.87289716142745,27.170837636828555,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
15,2018-09-10 21:48:36,,AF00098,AAA9101098,238.0,115.87287024022248,27.170818735361696,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
16,2018-09-10 21:48:37,,AF00098,AAA9101098,238.0,115.87284331901753,27.170799833894836,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
17,2018-09-10 21:48:38,,AF00098,AAA9101098,238.0,115.87281639781257,27.170780932427977,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
18,2018-09-10 21:48:39,,AF00098,AAA9101098,238.0,115.87278947660762,27.170762030961118,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
19,2018-09-10 21:48:40,,AF00098,AAA9101098,238.0,115.87276255540266,27.17074312949426,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
20,2018-09-10 21:48:41,,AF00098,AAA9101098,238.0,115.87273563419771,27.1707242280274,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
21,2018-09-10 21:48:42,,AF00098,AAA9101098,238.0,115.87270871299276,27.17070532656054,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
22,2018-09-10 21:48:43,,AF00098,AAA9101098,238.0,115.87268179178781,27.17068642509368,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
23,2018-09-10 21:48:44,,AF00098,AAA9101098,238.0,115.87265487058286,27.170667523626822,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
24,2018-09-10 21:48:45,,AF00098,AAA9101098,238.0,115.87262794937791,27.170648622159963,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
25,2018-09-10 21:48:46,,AF00098,AAA9101098,238.0,115.87260102817297,27.170629720693103,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
26,2018-09-10 21:48:47,,AF00098,AAA9101098,238.0,115.87257410696802,27.170610819226244,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
27,2018-09-10 21:48:48,,AF00098,AAA9101098,238.0,115.87254718576307,27.170591917759385,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
28,2018-09-10 21:48:49,,AF00098,AAA9101098,238.0,115.87252026455812,27.170573016292526,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
29,2018-09-10 21:48:50,,AF00098,AAA9101098,238.0,115.87249334335317,27.170554114825666,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
30,2018-09-10 21:48:51,,AF00098,AAA9101098,238.0,115.87246642214822,27.170535213358807,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
31,2018-09-10 21:48:52,,AF00098,AAA9101098,238.0,115.87243950094327,27.170516311891948,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
32,2018-09-10 21:48:53,,AF00098,AAA9101098,238.0,115.87241257973832,27.17049741042509,1.0,0.0,0.0,0.0,0.0,0.0,13334.0,
