,location_time,Unnamed: 0,Unnamed: 0.1,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,gps_speed,mileage,time_diff
0,2018-08-06 00:30:26,0,40970.0,AA00004,AAA9101004,239.0,114.7777709999994,28.698902999998232,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,3.0
1,2018-08-06 00:30:27,1,,AA00004,AAA9101004,239.0,114.7777709999985,28.69890299999557,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,
2,2018-08-06 00:30:28,2,,AA00004,AAA9101004,239.0,114.77777099999754,28.698902999992924,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,
3,2018-08-06 00:30:29,3,40971.0,AA00004,AAA9101004,239.0,114.77777099999662,28.698902999990267,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
4,2018-08-06 00:30:30,4,40972.0,AA00004,AAA9101004,239.0,114.77777099999044,28.698902999972482,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
5,2018-08-06 00:30:31,5,40973.0,AA00004,AAA9101004,239.0,114.77777099996936,28.698902999911947,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,2.0
6,2018-08-06 00:30:32,6,,AA00004,AAA9101004,239.0,114.77777099990074,28.69890299971461,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,
7,2018-08-06 00:30:33,7,40974.0,AA00004,AAA9101004,239.0,114.7777709998321,28.69890299951727,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
8,2018-08-06 00:30:34,8,40975.0,AA00004,AAA9101004,239.0,114.77777099950261,28.698902998569974,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
9,2018-08-06 00:30:35,9,40976.0,AA00004,AAA9101004,239.0,114.77777099840037,28.69890299540106,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
10,2018-08-06 00:30:36,10,40977.0,AA00004,AAA9101004,239.0,114.77777099481304,28.69890298508743,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
11,2018-08-06 00:30:37,11,40978.0,AA00004,AAA9101004,239.0,114.7777709831674,28.698902951606307,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
12,2018-08-06 00:30:38,12,40979.0,AA00004,AAA9101004,239.0,114.77777094537144,28.69890284294292,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
13,2018-08-06 00:30:39,13,40980.0,AA00004,AAA9101004,239.0,114.777770822707,28.698902490282663,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
14,2018-08-06 00:30:40,14,40981.0,AA00004,AAA9101004,239.0,114.77777042460814,28.69890134574837,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
15,2018-08-06 00:30:41,15,40982.0,AA00004,AAA9101004,239.0,114.77776913260618,28.698897631242772,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
16,2018-08-06 00:30:42,16,40983.0,AA00004,AAA9101004,239.0,114.77776493950476,28.698885576076197,1.0,0.0,0.0,0.0,0.0,0.0,6011.0,1.0
17,2018-08-06 00:30:43,17,40984.0,AA00004,AAA9101004,239.0,114.77776375953114,28.698882183652067,0.0,0.0,0.0,0.0,0.0,0.0,6011.0,84561.0
