,acc_state,Device Num,Direction Angle,Foot Brake,gps_speed,Hand Brake,lat,Left Turn Signals,lng,location_time,mileage,Right Turn Signals,Vehicleplatenumber,time_diff
61679,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61680,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61681,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61682,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61683,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61684,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61685,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61686,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61687,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61688,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61689,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61690,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61691,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61692,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61693,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61694,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61695,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61696,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61697,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61698,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61699,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61700,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61701,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61702,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61703,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61704,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61705,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
61706,1,AAA7109003,58,0,0,0,27.207660999999998,0,115.13305600000001,2018-10-16 23:53:00,20166,0,AD00003,0.0
